#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Low Power Warning,Safe Shut down Low Battery,Stopped,End of File
45,08/09/2021 16:00:00,38.92,76.51,34.07,,,,
46,08/09/2021 16:30:00,38.94,76.23,34.03,,,,
47,08/09/2021 17:00:00,38.98,75.93,34.00,,,,
48,08/09/2021 17:30:00,38.96,75.96,33.98,,,,
49,08/09/2021 18:00:00,38.98,75.84,33.98,,,,
50,08/09/2021 18:30:00,39.00,76.23,34.09,,,,
51,08/09/2021 19:00:00,38.98,76.19,34.06,,,,
52,08/09/2021 19:30:00,38.98,76.01,34.01,,,,
53,08/09/2021 20:00:00,38.96,75.62,33.90,,,,
54,08/09/2021 20:30:00,38.92,75.12,33.74,,,,
55,08/09/2021 21:00:00,38.92,76.07,33.97,,,,
56,08/09/2021 21:30:00,39.22,78.24,34.77,,,,
57,08/09/2021 22:00:00,40.19,76.57,35.32,,,,
58,08/09/2021 22:30:00,39.97,76.91,35.18,,,,
59,08/09/2021 23:00:00,39.87,76.90,35.09,,,,
60,08/09/2021 23:30:00,39.84,76.45,34.95,,,,
61,08/10/2021 00:00:00,39.80,76.54,34.93,,,,
62,08/10/2021 00:30:00,39.71,76.06,34.73,,,,
63,08/10/2021 01:00:00,39.67,76.08,34.70,,,,
64,08/10/2021 01:30:00,39.69,75.38,34.55,,,,
65,08/10/2021 02:00:00,39.67,75.04,34.45,,,,
66,08/10/2021 02:30:00,39.72,75.06,34.50,,,,
67,08/10/2021 03:00:00,39.69,75.20,34.50,,,,
68,08/10/2021 03:30:00,39.64,75.20,34.45,,,,
69,08/10/2021 04:00:00,39.64,74.31,34.24,,,,
70,08/10/2021 04:30:00,39.66,74.40,34.28,,,,
71,08/10/2021 05:00:00,39.66,74.38,34.28,,,,
72,08/10/2021 05:30:00,39.62,73.97,34.14,,,,
73,08/10/2021 06:00:00,39.64,73.81,34.12,,,,
74,08/10/2021 06:30:00,39.67,73.60,34.10,,,,
75,08/10/2021 07:00:00,39.67,73.81,34.15,,,,
76,08/10/2021 07:30:00,39.70,73.58,34.12,,,,
77,08/10/2021 08:00:00,39.71,73.48,34.11,,,,
78,08/10/2021 08:30:00,39.74,73.74,34.20,,,,
79,08/10/2021 09:00:00,39.73,73.45,34.12,,,,
80,08/10/2021 09:30:00,36.27,77.42,31.72,,,,
81,08/10/2021 10:00:00,38.04,75.47,32.98,,,,
82,08/10/2021 10:30:00,38.65,76.03,33.70,,,,
83,08/10/2021 11:00:00,38.79,76.27,33.89,,,,
84,08/10/2021 11:30:00,38.94,76.09,33.99,,,,
85,08/10/2021 12:00:00,38.97,76.20,34.05,,,,
86,08/10/2021 12:30:00,39.05,76.50,34.19,,,,
87,08/10/2021 13:00:00,39.11,76.84,34.34,,,,
88,08/10/2021 13:30:00,39.19,76.63,34.36,,,,
89,08/10/2021 14:00:00,39.18,76.83,34.40,,,,
90,08/10/2021 14:30:00,39.19,76.88,34.42,,,,
91,08/10/2021 15:00:00,39.22,76.88,34.45,,,,
92,08/10/2021 15:30:00,39.21,76.88,34.44,,,,
93,08/10/2021 16:00:00,39.24,77.12,34.53,,,,
94,08/10/2021 16:30:00,39.26,76.98,34.51,,,,
95,08/10/2021 17:00:00,39.18,77.01,34.44,,,,
96,08/10/2021 17:30:00,39.21,77.16,34.50,,,,
97,08/10/2021 18:00:00,39.20,76.90,34.43,,,,
98,08/10/2021 18:30:00,39.13,76.88,34.36,,,,
99,08/10/2021 19:00:00,39.14,77.12,34.43,,,,
100,08/10/2021 19:30:00,39.13,77.10,34.42,,,,
101,08/10/2021 20:00:00,39.12,77.15,34.42,,,,
102,08/10/2021 20:30:00,39.07,77.10,34.36,,,,
103,08/10/2021 21:00:00,39.00,77.01,34.27,,,,
104,08/10/2021 21:30:00,39.22,75.96,34.23,,,,
105,08/10/2021 22:00:00,40.21,77.61,35.57,,,,
106,08/10/2021 22:30:00,39.97,79.16,35.71,,,,
107,08/10/2021 23:00:00,39.95,79.36,35.73,,,,
108,08/10/2021 23:30:00,39.93,79.45,35.73,,,,
109,08/11/2021 00:00:00,39.94,79.48,35.75,,,,
110,08/11/2021 00:30:00,39.86,79.33,35.64,,,,
111,08/11/2021 01:00:00,39.74,79.39,35.54,,,,
112,08/11/2021 01:30:00,39.74,79.05,35.46,,,,
113,08/11/2021 02:00:00,39.69,79.05,35.41,,,,
114,08/11/2021 02:30:00,39.69,79.17,35.44,,,,
115,08/11/2021 03:00:00,39.65,79.49,35.47,,,,
116,08/11/2021 03:30:00,39.56,79.45,35.38,,,,
117,08/11/2021 04:00:00,39.50,79.61,35.35,,,,
118,08/11/2021 04:30:00,39.43,79.80,35.33,,,,
119,08/11/2021 05:00:00,39.33,79.77,35.22,,,,
120,08/11/2021 05:30:00,39.19,79.94,35.12,,,,
121,08/11/2021 06:00:00,39.18,80.03,35.13,,,,
122,08/11/2021 06:30:00,39.14,80.31,35.16,,,,
123,08/11/2021 07:00:00,39.12,80.11,35.10,,,,
124,08/11/2021 07:30:00,39.10,80.42,35.15,,,,
125,08/11/2021 08:00:00,39.07,80.35,35.10,,,,
126,08/11/2021 08:30:00,39.03,80.29,35.05,,,,
127,08/11/2021 09:00:00,39.03,80.46,35.08,,,,
128,08/11/2021 09:30:00,39.02,80.26,35.03,,,,
129,08/11/2021 10:00:00,38.03,80.48,34.12,,,,
130,08/11/2021 10:30:00,38.00,79.51,33.87,,,,
131,08/11/2021 11:00:00,36.18,79.56,32.12,,,,
132,08/11/2021 11:30:00,37.69,80.75,33.85,,,,
133,08/11/2021 12:00:00,38.17,81.11,34.40,,,,
134,08/11/2021 12:30:00,38.37,81.93,34.77,,,,
135,08/11/2021 13:00:00,38.50,82.17,34.95,,,,
136,08/11/2021 13:30:00,38.52,82.43,35.03,,,,
137,08/11/2021 14:00:00,38.55,82.71,35.13,,,,
138,08/11/2021 14:30:00,38.62,83.29,35.31,,,,
139,08/11/2021 15:00:00,38.62,84.11,35.49,,,,
140,08/11/2021 15:30:00,38.60,83.76,35.40,,,,
141,08/11/2021 16:00:00,38.54,83.54,35.30,,,,
142,08/11/2021 16:30:00,38.50,83.49,35.24,,,,
143,08/11/2021 17:00:00,38.46,83.38,35.18,,,,
144,08/11/2021 17:30:00,38.47,83.40,35.19,,,,
145,08/11/2021 18:00:00,38.46,83.42,35.19,,,,
146,08/11/2021 18:30:00,38.40,83.71,35.19,,,,
147,08/11/2021 19:00:00,38.38,83.66,35.16,,,,
148,08/11/2021 19:30:00,38.31,83.70,35.10,,,,
149,08/11/2021 20:00:00,38.29,83.77,35.09,,,,
150,08/11/2021 20:30:00,38.25,83.81,35.07,,,,
151,08/11/2021 21:00:00,38.28,84.17,35.17,,,,
152,08/11/2021 21:30:00,38.49,85.06,35.57,,,,
153,08/11/2021 22:00:00,39.15,84.23,36.04,,,,
154,08/11/2021 22:30:00,38.98,84.81,36.00,,,,
155,08/11/2021 23:00:00,38.93,84.89,35.97,,,,
156,08/11/2021 23:30:00,38.88,84.65,35.86,,,,
157,08/12/2021 00:00:00,38.81,84.74,35.82,,,,
158,08/12/2021 00:30:00,38.74,85.09,35.82,,,,
159,08/12/2021 01:00:00,38.64,85.13,35.73,,,,
160,08/12/2021 01:30:00,38.62,85.09,35.70,,,,
161,08/12/2021 02:00:00,38.58,85.26,35.70,,,,
162,08/12/2021 02:23:41,,,,Logged,,,
163,08/12/2021 02:30:00,38.61,85.41,35.76,,,,
164,08/12/2021 03:00:00,38.50,85.23,35.62,,,,
165,08/12/2021 03:30:00,38.47,85.44,35.63,,,,
166,08/12/2021 04:00:00,38.40,85.40,35.56,,,,
167,08/12/2021 04:30:00,38.36,85.86,35.61,,,,
168,08/12/2021 05:00:00,38.33,86.56,35.73,,,,
169,08/12/2021 05:30:00,38.28,86.61,35.69,,,,
170,08/12/2021 06:00:00,38.23,86.57,35.64,,,,
171,08/12/2021 06:30:00,38.19,86.86,35.66,,,,
172,08/12/2021 07:00:00,38.10,86.94,35.59,,Logged,Logged,Logged
