date;time;temperature_F;wind_speed_mph;RH_percent;solar_radiation_W_m2;precip_inches
12/5/20;1:00 PM;72.0;3.7;20.5;628.9;*
12/5/20;1:15 PM;73.4;3.4;20.2;609.9;*
12/5/20;1:30 PM;73.5;3.1;19.9;488.0;*
12/5/20;1:45 PM;73.8;3.3;19.7;543.0;*
12/5/20;2:00 PM;73.5;3.1;20.7;425.5;*
12/5/20;2:15 PM;66.6;6.0;36.0;383.1;*
12/5/20;2:30 PM;64.6;4.6;41.7;403.2;*
12/5/20;2:45 PM;62.9;4.5;49.0;263.6;*
12/5/20;3:00 PM;61.1;3.6;54.4;167.2;*
12/5/20;3:15 PM;60.3;1.7;55.5;109.5;*
12/5/20;3:30 PM;59.9;0.1;55.0;104.0;*
12/5/20;3:45 PM;60.4;0.1;55.2;98.1;*
12/5/20;4:00 PM;59.8;1.4;57.3;56.9;*
12/5/20;4:15 PM;56.1;5.3;68.9;22.9;*
12/5/20;4:30 PM;54.6;2.9;71.4;19.6;*
12/5/20;4:45 PM;53.7;2.2;78.9;5.9;*
12/5/20;5:00 PM;52.7;1.3;86.1;0.4;*
12/5/20;5:15 PM;52.3;1.7;87.3;0.2;*
12/5/20;5:30 PM;52.1;0.2;87.8;0.0;*
12/5/20;5:45 PM;51.8;0.3;88.9;0.0;*
12/5/20;6:00 PM;51.3;0.3;89.7;0.0;*
12/5/20;6:15 PM;51.0;1.1;90.3;0.0;*
12/5/20;6:30 PM;51.1;3.5;82.9;0.0;*
12/5/20;6:45 PM;52.3;1.4;71.3;0.0;*
12/5/20;7:00 PM;51.9;0.9;73.4;0.0;*
12/5/20;7:15 PM;50.3;0.2;78.5;0.0;*
12/5/20;7:30 PM;48.7;1.3;80.8;0.0;*
12/5/20;7:45 PM;48.5;1.0;81.4;0.0;*
12/5/20;8:00 PM;47.8;0.7;79.7;0.0;*
12/5/20;8:15 PM;47.3;1.0;78.7;0.0;*
12/5/20;8:30 PM;45.9;0.4;79.3;0.0;*
12/5/20;8:45 PM;44.9;1.0;79.5;0.0;*
12/5/20;9:00 PM;44.1;0.6;79.9;0.0;*
12/5/20;9:15 PM;43.4;0.9;79.4;0.0;*
12/5/20;9:30 PM;43.1;0.4;79.3;0.0;*
12/5/20;9:45 PM;43.1;0.3;78.8;0.0;*
12/5/20;10:00 PM;42.5;0.4;78.3;0.0;*
12/5/20;10:15 PM;42.1;0.1;78.2;0.0;*
12/5/20;10:30 PM;41.8;0.7;79.1;0.0;*
12/5/20;10:45 PM;41.1;0.7;79.6;0.0;*
12/5/20;11:00 PM;41.0;0.1;80.2;0.0;*
12/5/20;11:15 PM;40.8;0.2;80.1;0.0;*
12/5/20;11:30 PM;40.9;1.3;80.6;0.0;*
12/5/20;11:45 PM;41.2;1.7;80.9;0.0;*
12/6/20;12:00 AM;41.4;1.2;80.7;0.0;*
12/6/20;12:15 AM;42.4;1.6;79.9;0.0;*
12/6/20;12:30 AM;42.8;1.3;80.7;0.0;*
12/6/20;12:45 AM;42.5;0.7;81.7;0.0;*
12/6/20;1:00 AM;43.0;0.9;84.5;0.0;*
12/6/20;1:15 AM;43.1;2.8;87.3;0.0;*
12/6/20;1:30 AM;42.8;0.4;87.6;0.0;*
12/6/20;1:45 AM;42.2;1.0;88.5;0.0;*
12/6/20;2:00 AM;41.2;0.4;89.3;0.0;*
12/6/20;2:15 AM;40.9;0.5;90.7;0.0;*
12/6/20;2:30 AM;40.5;0.7;91.5;0.0;*
12/6/20;2:45 AM;40.1;0.5;92.3;0.0;*
12/6/20;3:00 AM;40.1;1.1;92.9;0.0;*
12/6/20;3:15 AM;40.3;1.2;93.7;0.0;*
12/6/20;3:30 AM;40.2;2.1;93.9;0.0;*
12/6/20;3:45 AM;41.2;1.4;94.5;0.1;*
12/6/20;4:00 AM;44.1;1.3;94.1;0.0;*
12/6/20;4:15 AM;43.1;1.1;92.7;0.0;*
12/6/20;4:30 AM;41.3;1.5;93.1;0.0;*
12/6/20;4:45 AM;40.6;1.4;94.4;0.0;*
12/6/20;5:00 AM;40.1;1.1;95.2;0.0;*
12/6/20;5:15 AM;40.3;1.2;96.2;0.0;*
12/6/20;5:30 AM;41.1;1.8;97.0;0.0;*
12/6/20;5:45 AM;41.4;0.9;96.7;0.0;*
12/6/20;6:00 AM;40.8;0.9;96.4;0.0;*
12/6/20;6:15 AM;40.3;1.2;96.4;0.0;*
12/6/20;6:30 AM;40.1;1.1;96.2;0.0;*
12/6/20;6:45 AM;41.2;2.2;95.2;0.3;*
12/6/20;7:00 AM;48.0;5.1;73.1;10.9;*
12/6/20;7:15 AM;56.3;7.1;36.1;13.3;*
12/6/20;7:30 AM;57.8;7.9;35.6;22.7;*
12/6/20;7:45 AM;58.7;8.1;33.7;24.8;*
12/6/20;8:00 AM;59.2;7.0;32.7;41.0;*
12/6/20;8:15 AM;59.2;6.4;33.1;53.5;*
12/6/20;8:30 AM;59.6;7.2;33.4;167.5;*
12/6/20;8:45 AM;61.4;7.4;32.4;302.7;*
12/6/20;9:00 AM;63.2;5.1;30.9;345.4;*
12/6/20;9:15 AM;64.3;4.3;31.6;388.4;*
12/6/20;9:30 AM;63.4;3.3;38.3;430.7;*
12/6/20;9:45 AM;62.4;4.6;42.4;473.7;*
12/6/20;10:00 AM;65.0;4.3;33.9;512.4;*
12/6/20;10:15 AM;68.0;3.5;28.0;542.8;*
12/6/20;10:30 AM;69.1;4.3;25.9;566.8;*
12/6/20;10:45 AM;70.0;3.9;25.6;593.4;*
12/6/20;11:00 AM;70.0;4.3;27.0;600.7;*
12/6/20;11:15 AM;69.9;4.9;26.1;621.3;*
12/6/20;11:30 AM;70.4;5.0;25.7;636.5;*
12/6/20;11:45 AM;70.9;4.2;25.2;530.0;*
12/6/20;12:00 PM;70.3;3.7;25.3;486.1;*
12/6/20;12:15 PM;69.9;5.2;25.2;488.7;*
12/6/20;12:30 PM;70.4;5.9;24.6;577.4;*
12/6/20;12:45 PM;70.7;4.7;25.2;518.7;*
12/6/20;1:00 PM;71.5;5.1;25.2;558.3;*
12/6/20;1:15 PM;71.5;4.4;25.8;456.4;*
12/6/20;1:30 PM;68.5;5.3;43.7;474.0;*
12/6/20;1:45 PM;69.8;4.3;34.5;409.5;*
12/6/20;2:00 PM;70.8;5.3;26.2;361.6;*
12/6/20;2:15 PM;70.9;3.9;28.1;298.1;*
12/6/20;2:30 PM;70.3;5.6;27.4;308.8;*
12/6/20;2:45 PM;70.6;4.9;24.0;250.9;*
12/6/20;3:00 PM;69.4;4.5;29.1;184.5;*
12/6/20;3:15 PM;67.0;4.4;38.6;153.9;*
12/6/20;3:30 PM;67.2;5.6;36.1;184.3;*
12/6/20;3:45 PM;65.3;5.0;42.9;145.3;*
12/6/20;4:00 PM;65.9;5.2;37.5;115.5;*
12/6/20;4:15 PM;65.2;3.9;37.9;111.6;*
12/6/20;4:30 PM;66.0;5.1;30.9;58.6;*
12/6/20;4:45 PM;62.9;3.7;43.4;11.4;*
12/6/20;5:00 PM;62.0;3.7;40.7;0.3;*
12/6/20;5:15 PM;62.0;3.1;36.5;0.0;*
12/6/20;5:30 PM;60.2;3.4;46.9;0.0;*
12/6/20;5:45 PM;56.6;5.8;68.3;0.0;*
12/6/20;6:00 PM;54.3;4.8;81.2;0.0;*
12/6/20;6:15 PM;52.8;3.3;88.9;0.0;*
12/6/20;6:30 PM;52.3;3.3;93.5;0.0;*
12/6/20;6:45 PM;51.3;2.5;95.7;0.0;*
12/6/20;7:00 PM;50.9;1.8;97.6;0.0;*
12/6/20;7:15 PM;50.3;1.8;98.5;0.0;*
12/6/20;7:30 PM;49.5;1.8;98.8;0.0;*
12/6/20;7:45 PM;53.1;7.5;72.4;1.9;*
12/6/20;8:00 PM;59.7;10.1;38.9;0.0;*
12/6/20;8:15 PM;59.3;8.6;41.2;0.0;*
12/6/20;8:30 PM;58.9;7.6;43.4;0.0;*
12/6/20;8:45 PM;58.8;6.4;45.6;0.0;*
12/6/20;9:00 PM;58.8;7.4;47.8;0.0;*
12/6/20;9:15 PM;58.6;7.4;50.6;0.0;*
12/6/20;9:30 PM;59.0;7.6;53.3;0.0;*
12/6/20;9:45 PM;59.3;7.6;53.4;0.0;*
12/6/20;10:00 PM;59.8;7.3;52.3;0.0;*
12/6/20;10:15 PM;60.2;9.1;50.8;0.0;*
12/6/20;10:30 PM;60.7;12.0;47.8;0.0;*
12/6/20;10:45 PM;60.5;11.7;46.3;0.0;*
12/6/20;11:00 PM;60.0;11.8;46.6;0.0;*
12/6/20;11:15 PM;59.5;10.5;45.6;0.0;*
12/6/20;11:30 PM;59.2;11.2;44.9;0.0;*
12/6/20;11:45 PM;59.0;11.1;44.3;0.0;*
12/7/20;12:00 AM;59.2;12.1;43.3;0.0;*
12/7/20;12:15 AM;59.2;13.0;43.2;0.0;*
12/7/20;12:30 AM;58.7;14.9;44.0;0.0;*
12/7/20;12:45 AM;57.5;12.5;45.8;0.0;*
12/7/20;1:00 AM;56.9;12.1;47.2;0.0;*
12/7/20;1:15 AM;57.4;11.2;45.5;0.0;*
12/7/20;1:30 AM;57.4;12.2;45.4;0.0;*
12/7/20;1:45 AM;57.1;15.2;45.7;0.0;*
12/7/20;2:00 AM;56.7;14.3;46.8;0.0;*
12/7/20;2:15 AM;56.7;13.0;46.5;0.0;*
12/7/20;2:30 AM;57.2;11.7;45.7;0.0;*
12/7/20;2:45 AM;57.0;11.1;45.7;0.0;*
12/7/20;3:00 AM;57.1;10.4;45.5;0.0;*
12/7/20;3:15 AM;57.5;10.1;44.9;0.0;*
12/7/20;3:30 AM;56.5;10.8;47.1;0.0;*
12/7/20;3:45 AM;56.4;10.0;47.2;0.0;*
12/7/20;4:00 AM;56.3;9.4;46.9;0.0;*
12/7/20;4:15 AM;56.3;10.2;46.1;0.0;*
12/7/20;4:30 AM;56.8;10.4;44.9;0.0;*
12/7/20;4:45 AM;56.8;10.1;45.1;0.0;*
12/7/20;5:00 AM;56.5;9.5;46.2;0.0;*
12/7/20;5:15 AM;56.1;8.0;47.2;0.0;*
12/7/20;5:30 AM;56.2;9.2;47.2;0.0;*
12/7/20;5:45 AM;56.5;10.4;46.7;0.0;*
12/7/20;6:00 AM;56.8;9.7;45.6;0.0;*
12/7/20;6:15 AM;57.0;11.7;44.5;0.0;*
12/7/20;6:30 AM;57.3;11.6;43.1;0.0;*
12/7/20;6:45 AM;57.5;14.3;42.8;0.0;*
12/7/20;7:00 AM;57.3;13.8;43.4;0.0;*
12/7/20;7:15 AM;57.4;13.3;42.9;5.3;*
12/7/20;7:30 AM;57.4;13.9;43.1;14.4;*
12/7/20;7:45 AM;57.3;13.5;43.1;23.7;*
12/7/20;8:00 AM;57.2;13.2;43.2;40.9;*
12/7/20;8:15 AM;57.4;12.2;42.8;57.5;*
12/7/20;8:30 AM;57.4;13.4;42.9;160.2;*
12/7/20;8:45 AM;57.8;14.9;42.5;301.6;*
12/7/20;9:00 AM;58.4;11.3;41.7;368.3;*
12/7/20;9:15 AM;59.5;12.2;40.0;407.0;*
12/7/20;9:30 AM;59.6;13.0;40.2;428.4;*
12/7/20;9:45 AM;59.4;11.5;41.4;365.3;*
12/7/20;10:00 AM;58.9;12.5;42.0;325.0;*
12/7/20;10:15 AM;59.8;12.6;41.1;581.9;*
12/7/20;10:30 AM;60.7;13.4;39.4;572.4;*
12/7/20;10:45 AM;61.7;13.3;38.5;596.4;*
12/7/20;11:00 AM;62.8;12.6;37.0;616.0;*
12/7/20;11:15 AM;64.0;12.9;35.2;629.4;*
12/7/20;11:30 AM;64.6;13.3;34.2;639.8;*
12/7/20;11:45 AM;65.8;11.6;31.7;651.5;*
12/7/20;12:00 PM;66.3;13.3;30.3;642.3;*
12/7/20;12:15 PM;66.3;13.9;30.2;646.4;*
12/7/20;12:30 PM;66.4;13.9;30.2;640.5;*
12/7/20;12:45 PM;66.8;15.4;29.6;631.3;*
12/7/20;1:00 PM;67.5;11.9;28.8;618.8;*
12/7/20;1:15 PM;68.2;12.9;28.0;598.4;*
12/7/20;1:30 PM;68.2;12.9;28.2;570.3;*
12/7/20;1:45 PM;67.5;13.1;30.4;544.2;*
12/7/20;2:00 PM;67.5;12.4;30.7;509.1;*
12/7/20;2:15 PM;67.4;13.2;30.5;467.7;*
12/7/20;2:30 PM;67.4;13.6;30.2;421.4;*
12/7/20;2:45 PM;67.7;13.6;30.0;377.5;*
12/7/20;3:00 PM;67.5;12.9;30.2;329.6;*
12/7/20;3:15 PM;67.4;14.8;30.1;285.3;*
12/7/20;3:30 PM;67.1;14.5;30.4;237.7;*
12/7/20;3:45 PM;67.0;12.5;29.7;192.3;*
12/7/20;4:00 PM;66.9;13.9;29.4;145.7;*
12/7/20;4:15 PM;66.3;13.1;30.2;94.8;*
12/7/20;4:30 PM;65.0;10.4;32.4;42.2;*
12/7/20;4:45 PM;64.5;10.7;32.3;11.4;*
12/7/20;5:00 PM;64.8;11.3;30.9;2.3;*
12/7/20;5:15 PM;65.0;13.0;29.5;0.0;*
12/7/20;5:30 PM;65.1;10.6;28.9;0.0;*
12/7/20;5:45 PM;65.4;13.3;28.3;0.0;*
12/7/20;6:00 PM;65.1;13.5;28.8;0.0;*
12/7/20;6:15 PM;65.0;11.6;28.6;0.0;*
12/7/20;6:30 PM;65.5;11.8;27.8;0.0;*
12/7/20;6:45 PM;65.5;10.9;27.7;0.0;*
12/7/20;7:00 PM;65.5;10.1;27.8;0.0;*
12/7/20;7:15 PM;65.3;10.0;28.3;0.0;*
12/7/20;7:30 PM;65.1;10.4;28.9;0.0;*
12/7/20;7:45 PM;64.7;10.2;29.6;0.0;*
12/7/20;8:00 PM;64.2;9.9;30.4;0.0;*
12/7/20;8:15 PM;63.6;11.4;31.5;0.0;*
12/7/20;8:30 PM;63.4;9.6;32.1;0.0;*
12/7/20;8:45 PM;63.3;8.9;32.1;0.0;*
12/7/20;9:00 PM;63.3;9.4;32.0;0.0;*
12/7/20;9:15 PM;63.7;9.4;31.5;0.0;*
12/7/20;9:30 PM;64.4;10.0;30.4;0.0;*
12/7/20;9:45 PM;64.6;10.2;30.0;0.0;*
12/7/20;10:00 PM;64.7;10.4;29.7;0.0;*
12/7/20;10:15 PM;65.2;11.5;29.2;0.0;*
12/7/20;10:30 PM;65.3;11.9;29.4;0.0;*
12/7/20;10:45 PM;65.2;12.6;29.9;0.0;*
12/7/20;11:00 PM;65.3;11.9;30.1;0.0;*
12/7/20;11:15 PM;64.9;11.7;30.9;0.0;*
12/7/20;11:30 PM;64.8;13.6;31.2;0.0;*
12/7/20;11:45 PM;64.8;13.2;31.3;0.0;*
12/8/20;12:00 AM;64.9;12.4;31.2;0.0;*
12/8/20;12:15 AM;64.7;11.9;31.3;0.0;*
12/8/20;12:30 AM;65.0;9.7;31.0;0.0;*
12/8/20;12:45 AM;64.9;9.5;31.0;0.0;*
12/8/20;1:00 AM;65.4;9.7;30.4;0.0;*
12/8/20;1:15 AM;65.5;7.1;30.3;0.0;*
12/8/20;1:30 AM;65.7;6.9;30.1;0.0;*
12/8/20;1:45 AM;65.6;6.5;30.2;0.0;*
12/8/20;2:00 AM;66.3;4.8;29.1;0.0;*
12/8/20;2:15 AM;65.0;3.2;30.4;0.0;*
12/8/20;2:30 AM;64.5;2.8;30.8;0.0;*
12/8/20;2:45 AM;66.3;5.1;28.9;0.0;*
12/8/20;3:00 AM;66.9;5.4;28.1;0.0;*
12/8/20;3:15 AM;67.3;5.5;27.7;0.0;*
12/8/20;3:30 AM;67.7;8.2;27.2;0.0;*
12/8/20;3:45 AM;67.1;6.7;27.7;0.0;*
12/8/20;4:00 AM;66.8;7.3;27.8;0.0;*
12/8/20;4:15 AM;66.7;7.9;27.7;0.0;*
12/8/20;4:30 AM;66.5;7.7;27.6;0.0;*
12/8/20;4:45 AM;66.8;7.4;27.1;0.0;*
12/8/20;5:00 AM;66.8;8.5;26.9;0.0;*
12/8/20;5:15 AM;66.6;10.0;27.1;0.0;*
12/8/20;5:30 AM;66.4;9.9;27.1;0.0;*
12/8/20;5:45 AM;65.6;6.6;27.9;0.0;*
12/8/20;6:00 AM;64.9;7.1;28.7;0.0;*
12/8/20;6:15 AM;64.4;5.7;29.1;0.0;*
12/8/20;6:30 AM;64.6;6.0;28.6;0.0;*
12/8/20;6:45 AM;64.9;6.1;28.1;0.0;*
12/8/20;7:00 AM;65.8;5.6;26.8;0.0;*
12/8/20;7:15 AM;66.5;4.7;25.9;2.0;*
12/8/20;7:30 AM;66.0;3.8;26.3;17.7;*
12/8/20;7:45 AM;66.0;6.6;26.5;27.0;*
12/8/20;8:00 AM;65.9;5.2;26.8;41.5;*
12/8/20;8:15 AM;65.9;5.9;26.9;60.4;*
12/8/20;8:30 AM;67.0;5.4;25.5;86.2;*
12/8/20;8:45 AM;68.0;6.5;24.3;93.6;*
12/8/20;9:00 AM;68.7;5.0;23.6;139.4;*
12/8/20;9:15 AM;69.1;3.7;23.7;143.7;*
12/8/20;9:30 AM;69.0;3.3;25.4;112.6;*
12/8/20;9:45 AM;68.7;3.2;25.0;132.2;*
12/8/20;10:00 AM;69.7;7.1;23.1;151.2;*
12/8/20;10:15 AM;69.1;7.9;23.4;126.7;*
12/8/20;10:30 AM;69.1;6.8;23.9;189.4;*
12/8/20;10:45 AM;69.4;5.5;23.7;181.3;*
12/8/20;11:00 AM;69.5;6.8;23.5;216.8;*
12/8/20;11:15 AM;69.7;8.1;23.2;223.9;*
12/8/20;11:30 AM;70.5;8.7;22.4;284.2;*
12/8/20;11:45 AM;71.8;9.1;21.2;341.3;*
12/8/20;12:00 PM;73.5;9.0;19.9;421.1;*
12/8/20;12:15 PM;73.8;8.8;20.5;505.8;*
12/8/20;12:30 PM;75.5;9.3;18.6;473.8;*
12/8/20;12:45 PM;76.8;6.7;16.5;285.7;*
12/8/20;1:00 PM;76.6;6.8;16.6;194.2;*
12/8/20;1:15 PM;75.9;8.2;15.9;130.4;*
12/8/20;1:30 PM;77.9;7.6;12.7;128.8;*
12/8/20;1:45 PM;77.2;8.4;13.9;128.7;*
12/8/20;2:00 PM;75.7;7.9;15.9;106.2;*
12/8/20;2:15 PM;74.5;7.7;17.4;137.4;*
12/8/20;2:30 PM;73.9;8.6;18.5;184.4;*
12/8/20;2:45 PM;73.5;7.3;19.5;160.5;*
12/8/20;3:00 PM;73.2;8.0;19.5;126.7;*
12/8/20;3:15 PM;74.0;7.6;18.0;137.9;*
12/8/20;3:30 PM;76.0;5.5;15.1;135.3;*
12/8/20;3:45 PM;77.7;2.8;13.1;96.6;*
