#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Low Power Warning,Safe Shut down Low Battery,Stopped,End of File
42,06/27/2021 15:30:00,22.06,88.38,20.07,,,,
43,06/27/2021 16:00:00,21.76,88.19,19.74,,,,
44,06/27/2021 16:30:00,21.87,88.91,19.98,,,,
45,06/27/2021 17:00:00,22.19,89.23,20.36,,,,
46,06/27/2021 17:30:00,22.27,88.29,20.27,,,,
47,06/27/2021 18:00:00,22.02,87.76,19.92,,,,
48,06/27/2021 18:30:00,21.69,87.20,19.50,,,,
49,06/27/2021 19:00:00,21.88,88.19,19.86,,,,
50,06/27/2021 19:30:00,22.33,88.39,20.34,,,,
51,06/27/2021 20:00:00,22.39,87.82,20.30,,,,
52,06/27/2021 20:30:00,22.05,86.59,19.73,,,,
53,06/27/2021 21:00:00,21.74,86.79,19.46,,,,
54,06/27/2021 21:30:00,22.14,95.80,21.47,,,,
55,06/27/2021 22:00:00,25.65,99.03,25.52,,,,
56,06/27/2021 22:30:00,26.32,96.46,25.74,,,,
57,06/27/2021 23:00:00,24.03,96.04,23.39,,,,
58,06/27/2021 23:30:00,24.97,97.65,24.60,,,,
59,06/28/2021 00:00:00,26.64,97.08,26.17,,,,
60,06/28/2021 00:30:00,25.19,96.26,24.59,,,,
61,06/28/2021 01:00:00,24.68,95.33,23.91,,,,
62,06/28/2021 01:30:00,26.43,96.89,25.94,,,,
63,06/28/2021 02:00:00,25.90,96.45,25.32,,,,
64,06/28/2021 02:30:00,24.58,95.52,23.85,,,,
65,06/28/2021 03:00:00,25.98,95.95,25.32,,,,
66,06/28/2021 03:30:00,26.32,95.58,25.59,,,,
67,06/28/2021 04:00:00,24.84,96.38,24.25,,,,
68,06/28/2021 04:30:00,25.50,95.23,24.72,,,,
69,06/28/2021 05:00:00,26.49,96.24,25.88,,,,
70,06/28/2021 05:30:00,25.27,95.90,24.60,,,,
71,06/28/2021 06:00:00,25.03,94.02,24.03,,,,
72,06/28/2021 06:30:00,26.34,96.12,25.70,,,,
73,06/28/2021 07:00:00,25.79,95.52,25.05,,,,
74,06/28/2021 07:30:00,24.83,93.99,23.82,,,,
75,06/28/2021 08:00:00,26.12,95.68,25.41,,,,
76,06/28/2021 08:30:00,26.23,95.32,25.46,,,,
77,06/28/2021 09:00:00,24.74,95.42,23.99,,,,
78,06/28/2021 09:30:00,25.83,95.15,25.03,,,,
79,06/28/2021 10:00:00,25.45,90.37,23.79,,,,
80,06/28/2021 10:30:00,24.21,87.83,22.10,,,,
81,06/28/2021 11:00:00,23.05,86.56,20.71,,,,
82,06/28/2021 11:30:00,24.93,94.44,24.01,,,,
83,06/28/2021 12:00:00,25.66,97.85,25.33,,,,
84,06/28/2021 12:30:00,25.19,98.37,24.95,,,,
85,06/28/2021 13:00:00,24.90,99.07,24.78,,,,
86,06/28/2021 13:30:00,25.35,98.88,25.20,,,,
87,06/28/2021 14:00:00,25.77,98.12,25.49,,,,
88,06/28/2021 14:30:00,25.51,98.14,25.23,,,,
89,06/28/2021 15:00:00,25.01,98.47,24.78,,,,
90,06/28/2021 15:30:00,25.00,98.77,24.83,,,,
91,06/28/2021 16:00:00,25.47,98.45,25.24,,,,
92,06/28/2021 16:30:00,25.60,97.97,25.29,,,,
93,06/28/2021 17:00:00,25.14,98.23,24.87,,,,
94,06/28/2021 17:30:00,24.87,98.82,24.70,,,,
95,06/28/2021 18:00:00,25.30,98.55,25.09,,,,
96,06/28/2021 18:30:00,25.71,97.79,25.36,,,,
97,06/28/2021 19:00:00,25.45,97.64,25.08,,,,
98,06/28/2021 19:30:00,24.85,98.13,24.57,,,,
99,06/28/2021 20:00:00,24.99,98.43,24.76,,,,
100,06/28/2021 20:30:00,25.58,97.68,25.22,,,,
101,06/28/2021 21:00:00,25.65,97.49,25.26,,,,
102,06/28/2021 21:30:00,24.85,99.05,24.72,,,,
103,06/28/2021 22:00:00,25.98,100.00,26.02,,,,
104,06/28/2021 22:30:00,26.95,99.61,26.92,,,,
105,06/28/2021 23:00:00,25.90,100.00,25.93,,,,
106,06/28/2021 23:30:00,25.89,100.00,25.92,,,,
107,06/29/2021 00:00:00,26.67,99.97,26.70,,,,
108,06/29/2021 00:30:00,26.06,100.00,26.10,,,,
109,06/29/2021 01:00:00,26.03,100.00,26.06,,,,
110,06/29/2021 01:30:00,26.53,100.00,26.57,,,,
111,06/29/2021 02:00:00,26.10,100.00,26.14,,,,
112,06/29/2021 02:30:00,26.21,100.00,26.25,,,,
113,06/29/2021 03:00:00,26.42,100.00,26.46,,,,
114,06/29/2021 03:30:00,26.12,100.00,26.16,,,,
115,06/29/2021 04:00:00,26.30,100.00,26.33,,,,
116,06/29/2021 04:30:00,26.28,100.00,26.32,,,,
117,06/29/2021 05:00:00,26.26,100.00,26.30,,,,
118,06/29/2021 05:30:00,26.26,100.00,26.30,,,,
119,06/29/2021 06:00:00,26.30,100.00,26.33,,,,
120,06/29/2021 06:30:00,26.28,100.00,26.32,,,,
121,06/29/2021 07:00:00,26.28,100.00,26.32,,,,
122,06/29/2021 07:30:00,26.27,100.00,26.31,,,,
123,06/29/2021 08:00:00,26.24,100.00,26.28,,,,
124,06/29/2021 08:30:00,26.26,100.00,26.30,,,,
125,06/29/2021 09:00:00,26.26,100.00,26.30,,,,
126,06/29/2021 09:30:00,26.52,99.42,26.46,,,,
127,06/29/2021 10:00:00,26.73,98.00,26.43,,,,
128,06/29/2021 10:30:00,25.96,98.76,25.79,,,,
129,06/29/2021 11:00:00,24.98,99.14,24.87,,,,
130,06/29/2021 11:30:00,25.12,91.22,23.61,,,,
131,06/29/2021 12:00:00,26.06,96.69,25.53,,,,
132,06/29/2021 12:30:00,25.97,97.04,25.50,,,,
133,06/29/2021 13:00:00,25.53,97.24,25.10,,,,
134,06/29/2021 13:30:00,25.03,97.10,24.57,,,,
135,06/29/2021 14:00:00,24.64,96.80,24.13,,,,
136,06/29/2021 14:30:00,24.31,96.05,23.67,,,,
137,06/29/2021 15:00:00,24.28,94.44,23.36,,,,
138,06/29/2021 15:30:00,24.54,91.74,23.13,,,,
139,06/29/2021 16:00:00,24.66,91.17,23.16,,,,
140,06/29/2021 16:30:00,24.55,90.94,23.00,,,,
141,06/29/2021 17:00:00,24.38,90.81,22.81,,,,
142,06/29/2021 17:30:00,24.49,96.40,23.91,,,,
143,06/29/2021 18:00:00,24.51,91.95,23.15,,,,
144,06/29/2021 18:30:00,25.24,89.72,23.46,,,,
145,06/29/2021 19:00:00,25.62,90.30,23.94,,,,
146,06/29/2021 19:30:00,25.28,91.58,23.84,,,,
147,06/29/2021 20:00:00,24.71,90.88,23.15,,,,
148,06/29/2021 20:30:00,24.73,90.89,23.17,,,,
149,06/29/2021 21:00:00,25.30,89.35,23.45,,,,
150,06/29/2021 21:30:00,25.32,93.25,24.18,,,,
151,06/29/2021 22:00:00,26.11,95.78,25.42,,,,
152,06/29/2021 22:30:00,27.12,93.25,25.97,,,,
153,06/29/2021 23:00:00,26.02,94.66,25.13,,,,
154,06/29/2021 23:30:00,25.94,94.46,25.02,,,,
155,06/30/2021 00:00:00,26.80,90.51,25.15,,,,
156,06/30/2021 00:30:00,26.06,93.12,24.89,,,,
157,06/30/2021 01:00:00,26.16,91.67,24.72,,,,
158,06/30/2021 01:30:00,26.69,88.38,24.64,,,,
159,06/30/2021 02:00:00,26.06,91.34,24.57,,,,
160,06/30/2021 02:30:00,26.38,87.93,24.25,,,,
161,06/30/2021 03:00:00,26.33,88.82,24.37,,,,
162,06/30/2021 03:30:00,26.33,87.73,24.16,,,,
163,06/30/2021 04:00:00,26.35,87.30,24.10,,,,
164,06/30/2021 04:30:00,26.36,86.85,24.02,,,,
165,06/30/2021 05:00:00,26.34,86.37,23.91,,,,
166,06/30/2021 05:30:00,26.40,85.71,23.85,,,,
167,06/30/2021 06:00:00,26.36,84.99,23.66,,,,
168,06/30/2021 06:30:00,26.38,84.70,23.63,,,,
169,06/30/2021 07:00:00,26.41,83.40,23.40,,,,
170,06/30/2021 07:30:00,26.45,82.41,23.23,,,,
171,06/30/2021 08:00:00,26.43,81.77,23.09,,,,
172,06/30/2021 08:30:00,26.45,81.00,22.95,,,,
173,06/30/2021 09:00:00,26.46,80.59,22.87,,,,
174,06/30/2021 09:30:00,26.63,81.16,23.16,,,,
175,06/30/2021 10:00:00,26.67,86.45,24.25,,,,
176,06/30/2021 10:30:00,26.18,82.26,22.94,,,,
177,06/30/2021 11:00:00,25.96,78.08,21.87,,,,
178,06/30/2021 11:30:00,25.59,100.00,25.62,,,,
179,06/30/2021 12:00:00,25.87,100.00,25.90,,,,
180,06/30/2021 12:30:00,26.23,100.00,26.27,,,,
181,06/30/2021 13:00:00,26.01,100.00,26.04,,,,
182,06/30/2021 13:30:00,25.54,100.00,25.58,,,,
183,06/30/2021 14:00:00,25.06,100.00,25.10,,,,
184,06/30/2021 14:30:00,24.90,100.00,24.94,,,,
185,06/30/2021 15:00:00,25.04,100.00,25.07,,,,
186,06/30/2021 15:30:00,25.17,100.00,25.20,,,,
187,06/30/2021 16:00:00,25.06,99.40,25.00,,,,
188,06/30/2021 16:30:00,24.77,99.48,24.72,,,,
189,06/30/2021 17:00:00,24.61,98.75,24.44,,,,
190,06/30/2021 17:30:00,24.85,98.96,24.71,,,,
191,06/30/2021 18:00:00,25.12,97.63,24.75,,,,
192,06/30/2021 18:30:00,25.12,97.72,24.76,,,,
193,06/30/2021 19:00:00,24.83,97.95,24.51,,,,
194,06/30/2021 19:30:00,24.72,97.99,24.41,,,,
195,06/30/2021 20:00:00,24.95,98.19,24.68,,,,
196,06/30/2021 20:30:00,25.19,97.23,24.75,,,,
197,06/30/2021 21:00:00,25.10,97.31,24.68,,,,
198,06/30/2021 21:30:00,24.63,99.53,24.59,,,,
199,06/30/2021 22:00:00,26.01,100.00,26.04,,,,
200,06/30/2021 22:30:00,27.04,99.88,27.05,,,,
201,06/30/2021 23:00:00,26.15,100.00,26.18,,,,
202,06/30/2021 23:30:00,25.93,100.00,25.97,,,,
203,07/01/2021 00:00:00,26.70,99.91,26.73,,,,
204,07/01/2021 00:30:00,26.33,100.00,26.36,,,,
205,07/01/2021 01:00:00,26.03,100.00,26.06,,,,
206,07/01/2021 01:30:00,26.54,99.98,26.58,,,,
207,07/01/2021 02:00:00,26.36,100.00,26.40,,,,
208,07/01/2021 02:30:00,26.10,100.00,26.14,,,,
209,07/01/2021 03:00:00,26.47,100.00,26.50,,,,
210,07/01/2021 03:30:00,26.33,100.00,26.36,,,,
211,07/01/2021 04:00:00,26.13,100.00,26.17,,,,
212,07/01/2021 04:30:00,26.43,100.00,26.47,,,,
213,07/01/2021 05:00:00,26.23,100.00,26.27,,,,
214,07/01/2021 05:30:00,26.22,100.00,26.26,,,,
215,07/01/2021 06:00:00,26.35,100.00,26.39,,,,
216,07/01/2021 06:30:00,26.22,100.00,26.26,,,,
217,07/01/2021 07:00:00,26.27,100.00,26.31,,,,
218,07/01/2021 07:30:00,26.27,100.00,26.31,,,,
219,07/01/2021 08:00:00,26.28,100.00,26.32,,,,
220,07/01/2021 08:30:00,26.28,100.00,26.32,,,,
221,07/01/2021 09:00:00,26.26,100.00,26.30,,,,
222,07/01/2021 09:30:00,26.47,100.00,26.50,,,,
223,07/01/2021 10:00:00,26.95,98.66,26.76,,,,
224,07/01/2021 10:30:00,26.46,100.00,26.49,,,,
225,07/01/2021 11:00:00,25.65,100.00,25.69,,,,
226,07/01/2021 11:30:00,24.69,100.00,24.72,,,,
227,07/01/2021 12:00:00,24.01,100.00,24.04,,,,
228,07/01/2021 12:30:00,24.19,100.00,24.23,,,,
229,07/01/2021 13:00:00,24.68,98.84,24.51,,,,
230,07/01/2021 13:30:00,24.72,99.36,24.64,,,,
231,07/01/2021 14:00:00,24.32,99.73,24.31,,,,
232,07/01/2021 14:30:00,23.97,99.79,23.97,,,,
233,07/01/2021 15:00:00,24.05,98.67,23.86,,,,
234,07/01/2021 15:30:00,24.38,97.71,24.02,,,,
235,07/01/2021 16:00:00,24.41,97.85,24.08,,,,
236,07/01/2021 16:30:00,24.12,98.94,23.97,,,,
237,07/01/2021 17:00:00,23.85,99.31,23.77,,,,
238,07/01/2021 17:30:00,24.08,97.94,23.76,,,,
239,07/01/2021 18:00:00,24.45,97.49,24.06,,,,
240,07/01/2021 18:30:00,24.42,97.87,24.09,,,,
241,07/01/2021 19:00:00,24.03,99.07,23.91,,,,
242,07/01/2021 19:30:00,23.86,98.99,23.72,,,,
243,07/01/2021 20:00:00,24.13,97.55,23.75,,,,
244,07/01/2021 20:30:00,24.48,97.27,24.05,,,,
245,07/01/2021 21:00:00,24.27,98.13,23.99,,,,
246,07/01/2021 21:30:00,23.80,100.00,23.83,,,,
247,07/01/2021 22:00:00,26.02,100.00,26.05,,,,
248,07/01/2021 22:30:00,26.92,98.28,26.66,,,,
249,07/01/2021 23:00:00,25.72,100.00,25.75,,,,
250,07/01/2021 23:30:00,25.68,99.94,25.71,,,,
251,07/02/2021 00:00:00,26.55,98.04,26.25,,,,
252,07/02/2021 00:30:00,25.96,99.82,25.97,,,,
253,07/02/2021 01:00:00,25.79,99.56,25.75,,,,
254,07/02/2021 01:30:00,26.36,97.85,26.03,,,,
255,07/02/2021 02:00:00,26.01,99.27,25.92,,,,
256,07/02/2021 02:30:00,25.88,99.11,25.76,,,,
257,07/02/2021 03:00:00,26.22,98.19,25.95,,,,
258,07/02/2021 03:30:00,25.93,99.10,25.81,,,,
259,07/02/2021 04:00:00,26.01,98.59,25.80,,,,
260,07/02/2021 04:30:00,26.12,98.46,25.90,,,,
261,07/02/2021 05:00:00,25.96,98.70,25.78,,,,
262,07/02/2021 05:30:00,26.04,98.42,25.80,,,,
263,07/02/2021 06:00:00,26.04,98.49,25.82,,,,
264,07/02/2021 06:30:00,26.03,98.31,25.77,,,,
265,07/02/2021 07:00:00,26.05,98.22,25.78,,,,
266,07/02/2021 07:30:00,26.03,98.19,25.75,,,,
267,07/02/2021 08:00:00,26.02,98.16,25.74,,,,
268,07/02/2021 08:30:00,26.03,98.09,25.74,,,,
269,07/02/2021 09:00:00,26.05,98.07,25.76,,,,
270,07/02/2021 09:30:00,26.15,97.85,25.81,,,,
271,07/02/2021 10:00:00,26.10,99.15,25.99,,,,
272,07/02/2021 10:30:00,26.05,98.34,25.80,,,,
273,07/02/2021 11:00:00,25.51,100.00,25.55,,,,
274,07/02/2021 11:30:00,24.85,100.00,24.88,,,,
275,07/02/2021 12:00:00,24.75,99.52,24.70,,,,
276,07/02/2021 12:30:00,25.19,96.42,24.61,,,,
277,07/02/2021 13:00:00,25.38,96.52,24.82,,,,
278,07/02/2021 13:30:00,25.08,97.10,24.62,,,,
279,07/02/2021 14:00:00,24.66,98.44,24.44,,,,
280,07/02/2021 14:30:00,24.57,97.31,24.15,,,,
281,07/02/2021 15:00:00,24.90,96.19,24.29,,,,
282,07/02/2021 15:30:00,25.16,95.55,24.43,,,,
283,07/02/2021 16:00:00,24.93,95.84,24.26,,,,
284,07/02/2021 16:30:00,24.57,97.14,24.12,,,,
285,07/02/2021 17:00:00,24.53,96.52,23.97,,,,
286,07/02/2021 17:30:00,24.87,95.62,24.15,,,,
287,07/02/2021 18:00:00,25.01,95.96,24.35,,,,
288,07/02/2021 18:30:00,24.76,96.86,24.26,,,,
289,07/02/2021 19:00:00,24.42,97.09,23.96,,,,
290,07/02/2021 19:30:00,24.59,96.63,24.05,,,,
291,07/02/2021 20:00:00,24.99,95.22,24.20,,,,
292,07/02/2021 20:30:00,25.04,95.43,24.29,,,,
293,07/02/2021 21:00:00,24.69,96.94,24.20,,,,
294,07/02/2021 21:30:00,24.35,99.05,24.23,,,,
295,07/02/2021 22:00:00,26.21,100.00,26.25,,,,
296,07/02/2021 22:30:00,26.89,98.35,26.64,,,,
297,07/02/2021 23:00:00,25.87,100.00,25.90,,,,
298,07/02/2021 23:30:00,25.93,100.00,25.97,,,,
299,07/03/2021 00:00:00,26.54,99.39,26.47,,,,
300,07/03/2021 00:30:00,26.03,100.00,26.06,,,,
301,07/03/2021 01:00:00,25.96,100.00,26.00,,,,
302,07/03/2021 01:30:00,26.41,99.95,26.44,,,,
303,07/03/2021 02:00:00,26.10,100.00,26.14,,,,
304,07/03/2021 02:30:00,26.02,100.00,26.05,,,,
305,07/03/2021 03:00:00,26.31,100.00,26.34,,,,
306,07/03/2021 03:30:00,26.09,100.00,26.13,,,,
307,07/03/2021 04:00:00,26.10,100.00,26.14,,,,
308,07/03/2021 04:30:00,26.21,100.00,26.25,,,,
309,07/03/2021 05:00:00,26.11,100.00,26.15,,,,
310,07/03/2021 05:30:00,26.10,100.00,26.14,,,,
311,07/03/2021 06:00:00,26.12,100.00,26.16,,,,
312,07/03/2021 06:30:00,26.12,100.00,26.16,,,,
313,07/03/2021 07:00:00,26.10,100.00,26.14,,,,
314,07/03/2021 07:30:00,26.09,100.00,26.13,,,,
315,07/03/2021 08:00:00,26.09,100.00,26.13,,,,
316,07/03/2021 08:30:00,26.09,100.00,26.13,,,,
317,07/03/2021 09:00:00,26.09,100.00,26.13,,,,
318,07/03/2021 09:30:00,26.24,100.00,26.28,,,,
319,07/03/2021 10:00:00,26.45,99.96,26.48,,,,
320,07/03/2021 10:30:00,25.01,100.00,25.04,,,,
321,07/03/2021 10:36:30,,,,Logged,,,
322,07/03/2021 11:00:00,24.47,99.38,24.40,,,,
323,07/03/2021 11:30:00,23.85,96.29,23.25,,,,
324,07/03/2021 12:00:00,23.34,93.59,22.27,,,,
325,07/03/2021 12:30:00,23.64,90.46,22.01,,,,
326,07/03/2021 13:00:00,24.12,89.40,22.29,,,,
327,07/03/2021 13:30:00,24.10,89.43,22.28,,,,
328,07/03/2021 14:00:00,23.65,89.92,21.92,,,,
329,07/03/2021 14:30:00,23.30,89.82,21.56,,,,
330,07/03/2021 15:00:00,23.55,88.96,21.65,,,,
331,07/03/2021 15:30:00,24.02,88.41,22.02,,,,
332,07/03/2021 16:00:00,23.99,88.34,21.97,,,,
333,07/03/2021 16:30:00,23.56,88.89,21.65,,Logged,Logged,Logged
